root,adaptation,budget_queries,method,selected_idx,hf_queries,hf_episode_cost,hf_native_environment_steps,hf_native_agent_steps,hf_native_episode_compute_seconds,selected_audit_gain,empirical_oracle_regret,queries,selected_distribution,allocation_mc_se_gain
328,12,1,proxy_only,5,0,0,0.0,0.0,0.0,6.671670102636614,12.225222152203653,[],,
328,12,1,global_voi_heuristic,6,1,56,16687.0,107303.0,182.43533469410613,12.051129623318687,6.8457626315215805,[3],,
328,12,1,uniform_v2_expected_100,,1,56,16715.39,107557.56,183.0471407004114,12.051129623318689,6.845762631521579,,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.7853057969915868e-16
328,12,2,pivot_kg,6,2,88,26310.0,168021.0,286.7041053388966,12.051129623318687,6.8457626315215805,"[5, 4]",,
328,12,2,uniform_v2,6,2,88,26253.0,168116.0,286.40684471919667,12.051129623318687,6.8457626315215805,"[2, 6]",,
328,12,2,ivr_v2,6,2,88,26310.0,168021.0,286.7041053388966,12.051129623318687,6.8457626315215805,"[5, 4]",,
328,12,2,lucb_v2,6,2,88,26310.0,168021.0,286.7041053388966,12.051129623318687,6.8457626315215805,"[5, 4]",,
328,12,2,no_hf_v2,6,0,0,0.0,0.0,0.0,12.051129623318687,6.8457626315215805,[],,
328,12,2,proxy_only,5,0,0,0.0,0.0,0.0,6.671670102636614,12.225222152203653,[],,
328,12,2,global_voi_heuristic,6,2,88,26287.0,168431.0,286.653944078309,12.051129623318687,6.8457626315215805,"[3, 4]",,
328,12,2,uniform_v2_expected_100,,2,88,26264.71,168784.96,287.59833821433074,12.051129623318689,6.845762631521579,,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.7853057969915868e-16
