CISR,CISR_ci_high,CISR_ci_low,CISR_cumulative_mean,CTI,CTI_ci_high,CTI_ci_low,CTI_cumulative_mean,environment_id,frozen_external_null,method,round,seed_n,source_status
,0.0022591106258396123,0.0003026684603058192,0.0010574065596445656,,0.47051793850115353,0.4321020652567078,0.4513819648403576,congestion_resource,False,proxy_only,11,30,
,0.002272371678506009,0.00030648147334406435,0.00106663941123775,,0.4870993891822547,0.4609840647852229,0.4736133537736303,congestion_resource,False,proxy_only,12,30,
,0.003021132403432728,0.00043815552650801993,0.0015279015235199996,,0.458058654929968,0.42241674036259513,0.4399382020897745,congestion_resource,False,proxy_only,13,30,
,0.0030851624863021034,0.0005051459753793579,0.001604659564745107,,0.510776184436027,0.48318324600912216,0.4970025279495757,congestion_resource,False,proxy_only,14,30,
,0.0031116745783007285,0.000536544704492919,0.00163044999992585,,0.47155294115447194,0.4394701320498782,0.45540273225133443,congestion_resource,False,proxy_only,15,30,
,0.004516559957705848,0.0012267937081236,0.002673456235973959,,0.519262293367774,0.48394048061872075,0.5020583424069184,congestion_resource,False,proxy_only,16,30,
,0.0052768685664955515,0.0015893449059514392,0.0032332506278916853,,0.4953180919222731,0.4595004045968689,0.47702637070669973,congestion_resource,False,proxy_only,17,30,
,0.0073687775711331815,0.0027499170700238254,0.004864691764045266,,0.5111058733841816,0.47685320213884064,0.49416847843523454,congestion_resource,False,proxy_only,18,30,
,0.00738476202731535,0.002787190753093803,0.004900509722528064,,0.5128308065308572,0.47374165685944997,0.4927506285850671,congestion_resource,False,proxy_only,19,30,
,0.007813347984003363,0.0030817886323069844,0.0052881017029685435,,0.494766304716101,0.4536157531727665,0.4740118060818935,congestion_resource,False,proxy_only,20,30,
,0.0084428851643993,0.0035752187272627377,0.005849204672609695,,0.5229102306674802,0.48700681169074717,0.5047745953603431,congestion_resource,False,proxy_only,21,30,
,0.009472351848344676,0.004281846416201701,0.006723319752921631,,0.4985995011381339,0.4614423920533039,0.4796712989137927,congestion_resource,False,proxy_only,22,30,
,0.01295628134350025,0.0065109922595033756,0.009519211204759645,,0.5249075446884827,0.48798839586201703,0.5063196833666388,congestion_resource,False,proxy_only,23,30,
